COwave,Cointen,COwave2,Cointen2
65.6,4.00E+00,162.8,4.00E+00
65.7,3.00E+00,162.9,3.00E+00
65.8,4.00E+00,163,4.00E+00
67.3,4.00E+00,173.7,4.00E+00
67.4,3.00E+00,173.8,3.00E+00
67.5,4.00E+00,173.9,4.00E+00
69,4.00E+00,186,4.00E+00
69.1,3.00E+00,186.1,3.00E+00
69.2,4.00E+00,186.2,4.00E+00
70.9,4.00E+00,200.3,4.00E+00
71,3.00E+00,200.4,3.00E+00
71.1,4.00E+00,200.5,4.00E+00
72.8,4.00E+00,217,4.00E+00
72.9,3.00E+00,217.1,3.00E+00
73,4.00E+00,217.2,4.00E+00
74.8,4.00E+00,236.7,4.00E+00
74.9,3.00E+00,236.8,3.00E+00
75,4.00E+00,236.9,4.00E+00
77,4.00E+00,260.3,4.00E+00
77.1,3.00E+00,260.4,3.00E+00
77.2,4.00E+00,260.5,4.00E+00
79.3,4.00E+00,289.2,4.00E+00
79.4,3.00E+00,289.3,3.00E+00
79.5,4.00E+00,289.4,4.00E+00
81.8,4.00E+00,325.4,4.00E+00
81.9,3.00E+00,325.5,3.00E+00
82,4.00E+00,325.6,4.00E+00
84.4,4.00E+00,371.8,4.00E+00
84.5,3.00E+00,371.9,3.00E+00
84.6,4.00E+00,372,4.00E+00
87.2,4.00E+00,433.8,4.00E+00
87.3,3.00E+00,433.9,3.00E+00
87.4,4.00E+00,434,4.00E+00
90.1,4.00E+00,520.5,4.00E+00
90.2,3.00E+00,520.6,3.00E+00
90.3,4.00E+00,520.7,4.00E+00
93.3,4.00E+00,650.6,4.00E+00
93.4,3.00E+00,650.7,3.00E+00
93.5,4.00E+00,650.8,4.00E+00
96.7,4.00E+00,867.5,4.00E+00
96.8,3.00E+00,867.6,3.00E+00
96.9,4.00E+00,867.7,4.00E+00
100.4,4.00E+00,1301.2,4.00E+00
100.5,3.00E+00,1301.3,3.00E+00
100.6,4.00E+00,1301.4,4.00E+00
104.4,4.00E+00,2602.5,4.00E+00
104.5,3.00E+00,2602.6,3.00E+00
104.6,4.00E+00,2602.7,4.00E+00
108.7,4.00E+00,,
108.8,3.00E+00,,
108.9,4.00E+00,,
113.4,4.00E+00,,
113.5,3.00E+00,,
113.6,4.00E+00,,
118.6,4.00E+00,,
118.7,3.00E+00,,
118.8,4.00E+00,,
124.2,4.00E+00,,
124.3,3.00E+00,,
124.4,4.00E+00,,
130.4,4.00E+00,,
130.5,3.00E+00,,
130.6,4.00E+00,,
137.2,4.00E+00,,
137.3,3.00E+00,,
137.4,4.00E+00,,
144.8,4.00E+00,,
144.9,3.00E+00,,
145,4.00E+00,,
153.3,4.00E+00,,
153.4,3.00E+00,,
153.5,4.00E+00,,
162.8,4.00E+00,,
162.9,3.00E+00,,
163,4.00E+00,,
173.7,4.00E+00,,
173.8,3.00E+00,,
173.9,4.00E+00,,
186,4.00E+00,,
186.1,3.00E+00,,
186.2,4.00E+00,,
200.3,4.00E+00,,
200.4,3.00E+00,,
200.5,4.00E+00,,
217,4.00E+00,,
217.1,3.00E+00,,
217.2,4.00E+00,,
236.7,4.00E+00,,
236.8,3.00E+00,,
236.9,4.00E+00,,
260.3,4.00E+00,,
260.4,3.00E+00,,
260.5,4.00E+00,,
289.2,4.00E+00,,
289.3,3.00E+00,,
289.4,4.00E+00,,
325.4,4.00E+00,,
325.5,3.00E+00,,
325.6,4.00E+00,,
371.8,4.00E+00,,
371.9,3.00E+00,,
372,4.00E+00,,
433.8,4.00E+00,,
433.9,3.00E+00,,
434,4.00E+00,,
520.5,4.00E+00,,
520.6,3.00E+00,,
520.7,4.00E+00,,
650.6,4.00E+00,,
650.7,3.00E+00,,
650.8,4.00E+00,,
867.5,4.00E+00,,
867.6,3.00E+00,,
867.7,4.00E+00,,
1301.2,4.00E+00,,
1301.3,3.00E+00,,
1301.4,4.00E+00,,
2602.5,4.00E+00,,
2602.6,3.00E+00,,
2602.7,4.00E+00,,
,,,
,,,
